原文, 訳文, 解説, 音声
こんにちは,こんにちわ,,8
こんばんは,こんばんわ,
もしもし,もしもし,
何と言っていますか？,なんつってるん？,
彼らは何について話していますか？,あいつらなにはなしてるん？,
何をしていましたか？,なにしてたん？,
You've done it right.,,
かれらはやりかたをしっています,あいつらやりかたしってるで,
わたしはやりかたをしっています,やりかたしってるで,
私に会えなくてさみしいですか？,おれにあいてん？,
なにがほしいですか？,なにほしん？,
それのやりかたをしっていますか？,やりかたしってるかい？,
あなたの仕事はなんですか？,あんたしごとなにしてるん？,
彼女の仕事はなんですか？,あいつしごとなんなん？,
どこで働いていますか？,どこでつとめてるん？,
どこへいくところですか？,どこいくん？,
どこへいきたいですか？,どこいきてん=？,
どこから来ましたか？,どっからきたん？,
彼女はどこから来ましたか？,あいつどっからきたん？,
どこへ食事をとりに行きたいですか？,めしどこでたべてん=？,
食事がとりたいです,めしたべてん,
彼女は食事がとりたいですか？,あいつめしたべてん=？,
どうされましたか？,どしたん？,
彼の話を聞きましょう。,あいつのはなしききな,
私の話を聞いていますか？,はなしきいてるかい？,
最近どう？,さいきんどうなん？,
最近どう？,さいきんどうなん？,
具合はどうです？,ぐあいどうだい？,
あなたの働きは問題ないと思います。,ちゃんとつとまってるとおもうで,
見てみたいです。,みてみてん,
みさせてください,ちょっとみして,
彼にはできません。,あいつにゃできねん,
生徒たちは私のいうことを聞きません,せいとたちゃおれのはなしきかねん,
あなたのことを愛しています,おまえがすきなん,
彼は自分の仕事が好きではありません。,あいつぁじぶんのしごとすきじゃねんさ,
自分の仕事が好きですか？,じぶんのしごとすきかい？,
千葉が好きです,ちばすきなん,
滋賀は大きいですか？,しがっておおきん？,
滋賀はとても大きいです。,しがわえーれえおおきいで,
He's an American,,
I am an American.,,
彼はアメリカが大好きです。,あいつぁアメリカのことだいすきなん,
Is the United States big?,,
彼はどちらさまですか？,あのひただれなん？,
あなたの生徒は誰ですか,だれがあんたのせーとなん？,
東京へはどう行きますか？,とーきょーわどーいきゃいん？,
彼女は東京へ行く予定です。,あいつぁとーきょーいくん,
Are you Chinese?,,
I'm going to Beijing.,,
東京へ行きたいですか？,とーきょーいきてん？,
これが東京です。,これがとーきょーなん,
ここはどこですか？,ここどこなん？,
これが我が家です,これおれんちなん,
